id,키워드,url,date,year,content,user,replyCount,"Pesan yang dikirim dengan isyarat lisan/non-lisan dan gerakan tidak selalu menghasilkan hasil yang sesuai dengan yang dimaksudkan oleh pengirim, membawa arti dan wawasan yang sama sekali berbeda terhadap konsep yang dikirim. Oleh karena itu, distorsi terjadi ketika audiens tidak dapat memahami konsep memiliki sudut pandang yang berbeda terhadap kesimpulan itu sendiri. Distorsi tersebut dapat disebabkan oleh usia, jenis kelamin, agama, ras, pandangan politik, etnis, kelas, budaya, dan suasana hati di mana audiens menerima pesan, dan sebagainya.",likeCount,quoteCount,contentLen
12,buku terjemahan korea,https://twitter.com/dilanjutgak/status/1519193995024363520,12.57 PM · 27 Apr 2022,2022,"Bahasa indonesia, apalagi yang penerbit haru, enak bgt bahasanya ❣️",@dilanjutgak,0,0,0,0,67
13,buku terjemahan korea,https://twitter.com/bookwormdaily/status/1519262308459237377,"5.28 PM · 27 Apr 2022
",2022,bahasa indonesia,@bookwormdaily,0,0,0,0,16
14,buku terjemahan korea,https://twitter.com/olpive/status/1519261059806232577,5.23 PM · 27 Apr 2022,2022,"bahasa indo, yg terjemahannya penerbit haru & gramed bagus2. aku pernah baca kim ji young yg bhs inggris kurang bagus terjemahannya, beda bgt sama yg bhs indo",@olpive,0,0,0,0,158
15,buku terjemahan korea,https://twitter.com/fragrantsweetz/status/1519188384119652352,12.35 PM · 27 Apr 2022,2022,"Inggris, walaupun jatuh harganya lebih mahal😅",@fragrantsweetz,0,0,0,0,46
16,buku terjemahan korea,https://twitter.com/amerizkano/status/1519265155280179200,5.40 PM · 27 Apr 2022,2022,"Bahasa Indonesia lah. Suka banget sama hasil terjemahannya, gampang dipahami",@amerizkano,0,0,0,0,76
17,buku terjemahan korea,https://twitter.com/sweettooth_wuwu/status/1519189569182498817,12.39 PM · 27 Apr 2022,2022,"belum pernah baca yang inggris, tapi kalau terjemahan indonesia yang enak menurutku namiya untuk yang heartwarming, real face untuk misteri",@sweettooth_wuwu,0,0,0,0,139
18,buku terjemahan korea,https://twitter.com/taestheticry/status/1519207653569753088,1.51 PM · 27 Apr 2022,2022,"belum pernah baca yg terjemahan inggris, tapi buku terjamahannya dari penerbit haru enak banget, halus banget bahasanya",,0,0,0,0,119
19,buku terjemahan korea,https://twitter.com/ninabookshelves/status/1519279586978463744,6.37 PM · 27 Apr 2022,2022,Indo,@ninabookshelves,0,0,0,0,4
20,buku terjemahan korea,https://twitter.com/wonureadd/status/1519416083177910272,3.39 AM · 28 Apr 2022,2022,buku bukunya penerbit haru bagus bagus nder terjemahannya enak banget👍,@wonureadd,0,0,0,0,71
21,buku terjemahan korea,https://twitter.com/literarybase/status/1519146576371122176,9.49 AM · 27 Apr 2022,2022,"/LT Guys bantu doa ya semoga sender rejekinya dilancarkan bisa beli buku japan lit korea lit lainnya makin kesini sender suka dgn japan lit korea lit menarik banget pemikiran manusia yg kompleks + isu yg dikaitkan dalam bentuk fiksi, sender juga suka terjemahan   (cont..)",@literarybase,5,0,16,3,272
22,buku terjemahan korea,https://twitter.com/literarybase/status/1519146577411342337,9.49 AM · 27 Apr 2022,2022,Indonesia jadi lebih dekat relate rasanya terimakasih atas jasa blood sweat tears para penerjemah semoga sehat selalu dimanapun kalian berada🌻,@literarybase,0,0,3,0,143
23,buku terjemahan korea,https://twitter.com/deep_hanshine/status/1519151584890191872,10.08 AM · 27 Apr 2022,2022,"Aamiin nderr, btw judul J-lit sama K-lit fav sender apa? Aku mau cari-cari referensi niih",@deep_hanshine,0,0,0,0,89
24,buku terjemahan korea,https://twitter.com/literarybase/status/1515574840895320064,1.16 PM · 17 Apr 2022,2022,"Halo bisa tolong Rekomendasi buku fiksi terjemahan Korea, yang bisa di ambil pelajaran nya, dan bermakna banget please, yang sejenis my brilliant life /lt",@literarybase,3,1,27,12,154
25,buku terjemahan korea,https://twitter.com/eljenejle/status/1515630080198070272,4.55 PM · 17 Apr 2022,2022,please look after mom sih kalau kataku,@eljenejle,0,0,0,0,38
26,buku terjemahan korea,https://twitter.com/reveuseamelie/status/1515581430327554053,1.42 PM · 17 Apr 2022,2022,"angels of morning star club, i want to die but i want to eat tteokbokki, please look after mom",@reveuseamelie,0,0,0,0,94
27,buku terjemahan korea,https://twitter.com/jeoonwonwo/status/1515575503750586372,1.18 PM · 17 Apr 2022,2022,"aku belum pernah baca sih, tapi sampe di baca wonwoo berarti bagus, judulnya dallegurt : toko penjual mimpi",@jeoonwonwo,0,0,1,0,107
28,buku terjemahan korea,https://twitter.com/literarybase/status/1500439342107721731,6.53 PM · 6 Mar 2022,2022,/lt coba pap atau kasih tau buku self improvement terjemahan korea yg bikin kalian tertarik buat baca itu,@literarybase,4,1,7,2,105
29,buku terjemahan korea,https://twitter.com/puritcy/status/1500439908233666565,6.55 PM · 6 Mar 2022,2022,I want to die but i want to eat tteokbokki,@puritcy,0,0,0,0,42
30,buku terjemahan korea,https://twitter.com/kukerjain/status/1500440175956008966,6.56 PM · 6 Mar 2022,2022,Almond.,@kukerjain,0,0,0,0,7
31,buku terjemahan korea,https://twitter.com/jejepeaches/status/1500441474286391299,7.01 PM · 6 Mar 2022,2022,Siapa yang datang ke pemakamanku saat aku mati,@jejepeaches,0,0,0,0,46
32,buku terjemahan korea,https://twitter.com/afthvl/status/1500512761360826368,11.44 PM · 6 Mar 2022,2022,Ga bakal bosen buat nyebut 'terima kasih sudah mengatakannya',@afthvl,0,0,0,0,61
33,buku terjemahan korea,https://twitter.com/literarybase/status/1478048120726376450,11.58 PM · 3 Jan 2022,2022,"/lt gais ada yg tau ga buku terjemahan korea kayanya (?) dulu pernah liat, tentang toko mimpi. Ada yg tau judulnya ga? Makasih sebelumnya 🙏🏻",@literarybase,5,0,4,5,142
34,buku terjemahan korea,https://twitter.com/damarpineee/status/1478048728397144064,12.00 AM · 4 Jan 2022,2022,Dallergut,@damarpineee,0,0,0,0,9
35,buku terjemahan korea,https://twitter.com/Writtean/status/1478049026444386304,12.02 AM · 4 Jan 2022,2022,"Dallergut, 'kah? Dulu namanya Dollagoot. Penulisnya Lee Mi Ye.",@Writtean,0,0,0,0,62
36,buku terjemahan korea,https://twitter.com/ikaerv_/status/1478048950804353027,12.01 AM · 4 Jan 2022,2022,Dollagoot: Toko Penjual Mimpi. Penulisnya Lee Mi Yee,@ikaerv_,0,0,0,0,52
37,buku terjemahan korea,https://twitter.com/literarybase/status/1477173312308465666,2.02 PM · 1 Jan 2022,2022,/lt haii semua. Minta rekomendasi buku novel tentang penyakit mental dong bebas bahasa inggris atau terjemahan dari bahasa korea/jepang. Makasih❤️,@literarybase,6,1,6,8,146
38,buku terjemahan korea,https://twitter.com/literarybase/status/1456868099093717004,1.16 PM · 6 Nov 2021,2021,"/lt menurut kalian, kalo ada buku yg bahasa aslinya jepang/korea, mending beli yang terjemahan indo atau inggris? thank you 💙",@literarybase,28,5,7,1,126
39,buku terjemahan korea,https://twitter.com/lanicolecky/status/1456876969560186887,1.51 PM · 6 Nov 2021,2021,"Selama ini selalu bahasa Inggris.

😂 Karena lebih cepet dan lebih terbiasa",@lanicolecky,0,0,0,0,77
40,buku terjemahan korea,https://twitter.com/alfinanurpiana/status/1456882641072918529,2.14 PM · 6 Nov 2021,2021,Indonesia,@alfinanurpiana,0,0,0,0,9
41,buku terjemahan korea,https://twitter.com/bookwormdaily/status/1456884743371325444,2.22 PM · 6 Nov 2021,2021,Kalo aku lebih nyaman baca pake b. ing tapi emang jarang baca yg translate indo juga. Balik lagi ke preference masing2,@bookwormdaily,0,0,0,0,118
42,buku terjemahan korea,https://twitter.com/oriemint/status/1456885146678808581,2.24 PM · 6 Nov 2021,2021,"Personally, lebih prefer yang terjemahan bahasa Inggris.",@oriemint,0,0,0,0,56
43,buku terjemahan korea,https://twitter.com/brittleeheart,1.20 PM · 6 Nov 2021,2021,Indo,@brittleeheart,0,0,0,0,4
44,buku terjemahan korea,https://twitter.com/KulchitskyCells/status/1456868735751385090,1.19 PM · 6 Nov 2021,2021,"beli yg indo nya, kecuali klo blm diterjemahin ke indo, baru beli yg inggrisnya",@KulchitskyCells,0,0,0,0,79
45,buku terjemahan korea,https://twitter.com/watdanis/status/1456870566128881666,1.26 PM · 6 Nov 2021,2021,"Kalo yang jepang, penerjemahnya bagus2 sih bahasanya.. jadi masih ngerti..
Kalau Korea, aku belum nemu hasil terjemahan ke Indonesia yg bagus sih.. jadi mending pake bahasa Inggris aja..",@watdanis,0,0,0,0,187
46,buku terjemahan korea,https://twitter.com/udanggorengs/status/1456871023270260737,1.28 PM · 6 Nov 2021,2021,"Indonesia, karena sejauh ini terjemahannya bagus menurutku.",@udanggorengs,0,0,0,0,59
47,buku terjemahan korea,https://twitter.com/hobinika/status/1456868988546269185,1.20 PM · 6 Nov 2021,2021,"Menurutku Indo, tapi terserah sender aja sih 😊",@hobinika,0,0,0,0,47
48,buku terjemahan korea,https://twitter.com/lingyucn/status/1456885093176250373,2.24 PM · 6 Nov 2021,2021,"kalo aku milih inggris soalnya emang lagi belajar sih, tapi kalo diluar konteks itu aku milih bindo karena murah dan gampang dicari 😂",@lingyucn,0,0,0,0,134
49,buku terjemahan korea,https://twitter.com/ncmtmark/status/1456868387364114437,1.17 PM · 6 Nov 2021,2021,klo aku sih indo.. sama2 terjemahan. klo yg original inggris bru mending lgsg inggris,@ncmtmark,0,0,0,0,85
50,buku terjemahan korea,https://twitter.com/Syugustd/status/1456868766734708740,1.19 PM · 6 Nov 2021,2021,Lebih suka yg inggris,@Syugustd,0,0,0,0,21
51,buku terjemahan korea,https://twitter.com/mikrocan/status/1456877078154936322,1.52 PM · 6 Nov 2021,2021,Lihat review orang2 dulu 😀,@mikrocan,0,0,0,0,27
52,buku terjemahan korea,https://twitter.com/LaNightBook/status/1456873405307703301,1.37 PM · 6 Nov 2021,2021,Tergantung nder soalnya kadang yg terjemahan indo bagus kadang inggris bagus,@LaNightBook,0,0,0,0,76
53,buku terjemahan korea,https://twitter.com/ninabookshelves/status/1456870030050676741,1.24 PM · 6 Nov 2021,2021,Aku indo sih lebih murah,@ninabookshelves,0,0,0,0,24
54,buku terjemahan korea,https://twitter.com/almonderly/status/1456887159516917762,2.32 PM · 6 Nov 2021,2021,Kalau dari korea aku prefer terjemahan inggris sih nder ehehe kalo dari jepang baru terjemahan indoo,@almonderly,0,0,0,0,100
55,buku terjemahan korea,https://twitter.com/endlesstcry/status/1456868375569698817,1.17 PM · 6 Nov 2021,2021,"indo aja nder, tp terserah kamu juga ding",@endlesstcry,0,0,0,0,41
56,buku terjemahan korea,https://twitter.com/penapenyu/status/1456868282770751495,1.17 PM · 6 Nov 2021,2021,Indo sih👍🏻,@penapenyu,0,0,0,0,12
57,buku terjemahan korea,https://twitter.com/literarybase/status/1446463851667410944,8.13 PM · 8 Okt 2021,2021,"halo, apakah ada yg punya rekomendasi buku berlatar atau bertema korea? (bukan buku essay terjemahan korea) 감사합니다! /lt",@literarybase,7,1,5,2,118
58,buku terjemahan korea,https://twitter.com/doyouchi8412/status/1446466248305360897,8.23 PM · 8 Okt 2021,2021,Kamu bisa baca novel terjemahan Korea ini. Ada  bagian yang mendeskripsikan salah satu tempat di Korea dan penulisnya mendeskripsikan dgn sangat baik.,@doyouchi8412,0,0,1,0,150
59,buku terjemahan korea,https://twitter.com/literarybase/status/1441593256895139840,9.39 AM · 25 Sep 2021,2021,"/lt Halo, ada yg suka baca buku self-improvement terjemahan Korea? What's your fav?",@literarybase,4,0,4,6,83
60,buku terjemahan korea,https://twitter.com/elisaapphire/status/1441596471132884997,9.52 AM · 25 Sep 2021,2021,The Things You Can Se Only When You Slow Down,@elisaapphire,,,,,45
61,buku terjemahan korea,https://twitter.com/literarybase/status/1437618436608122883,10.25 AM · 14 Sep 2021,2021,"/lt banyak buku terjemahan korea yg diterbitkan di salah satu penerbit indo, kok rasanya menurutku bikin depressed mulu ya. kalo gak novel yg sedih2, non fiksi yg sendu juga. gimana menurut kalian?",@literarybase,11,3,8,5,197
62,buku terjemahan korea,https://twitter.com/namakulaut/status/1437619885694062595,10.31 AM · 14 Sep 2021,2021,Karena banyak peminatnya nderr,@namakulaut,,,,,30
63,buku terjemahan korea,https://twitter.com/flofloret/status/1437623741677113347,10.46 AM · 14 Sep 2021,2021,Buku-buku yg diterbitin kan berdasarkan peminat nder. Coba deh kalau diperhatiin pasti buku-buku yg diterjemahkan setidaknya pernah dibaca idol dan buku itu yg dicari2 sekarang. Mungkin kalau mau silahkan ngasih usul judul ke penerbit buku yg kamu tau ga bikin depresi.,@flofloret,1,,,,269
64,buku terjemahan korea,https://twitter.com/flofloret/status/1437624002650853384,10.47 AM · 14 Sep 2021,2021,Atau bisa juga berselancar ke berbagai penerbit selain penerbit yg kamu maksud. Kan buku buku terjemahan korea ga diterbitkan sama penerbit itu aja.,@flofloret,,,,,148
65,buku terjemahan korea,https://twitter.com/yslonvogue/status/1437619949623676933,10.31 AM · 14 Sep 2021,2021,"karena depresi itu main concern di korea, nder. jadi menurut aku salah satu tingkat untuk menurunkan persentase itu ya, membuat buku sebagai sebuah ""pengharapan"" yang baru. kalo kamu ngeliat penerbit ini cetak melulu perihal hal depressed, ya skip aja. cari penerbit lain",@yslonvogue,0,0,2,0,271
66,buku terjemahan korea,https://twitter.com/emfatoni/status/1437619936218677254,10.31 AM · 14 Sep 2021,2021,mungkin karena itu yang laris di Indonesia,@emfatoni,,,,,42
67,buku terjemahan korea,https://twitter.com/mes___yeux/status/1437620126795264001,10.32 AM · 14 Sep 2021,2021,"Mungkin banyak peminatnya, nder jadi banyak yg diterjemahkan. Skip aja klu nggak suka. Gue aja belum selesaiin novel Kim Jiyoung, Born 1992 pdhl dari review banyak yg bilang bagus. Berat banget rasanya buat otak gue.",@mes___yeux,,,,,216
68,buku terjemahan korea,https://twitter.com/moodbyecha/status/1437619295035351040,10.28 AM · 14 Sep 2021,2021,"Mungkin karena tingkat depresi di korea lumayan tinggi, jadi bukunya ya membahas yg spt itu. 
Kalo urusan penerbit indo nerjemahin buku yg depressed mulu yaa balik lagi ke peminatnya. Selagi banyak peminatnya bakal dicetak trs. Mungkin kalo menurut km bikin depressed, bisa",@moodbyecha,1,0,4,0,274
69,buku terjemahan korea,https://twitter.com/readingordying/status/1437640334196953088,11.52 AM · 14 Sep 2021,2021,"sebenernya east asian literature gak melulu depressed, cuma ya balik lagi. penerbit nerjemahin buku-buku berdasarkan peminat, kebetulan yang banyak dibaca dan diminati yang vibesnya suram",@readingordying,,,,,187
70,buku terjemahan korea,https://twitter.com/sylliastera/status/1437621510470995969,10.37 AM · 14 Sep 2021,2021,"sebenernya buku korea ga melulu sendu gitu, banyak kok komedi, fantasy atau romance yang seru. cuma di indonesia udah keburu terkenal yang genre gitu, plus dipopulerkan sama para kpop idol makanya ya yang nongol mayoritas begituan",@sylliastera,1,0,0,0,230
71,buku terjemahan korea,https://twitter.com/sylliastera/status/1437622804199792640,10.42 AM · 14 Sep 2021,2021,"tbh aku juga bosen dengan tren buku korea = mental health ini. imo ada baiknya juga masukin buku dgn genre yang lebih diverse biar pembaca indo tau gimana style penulisan buku korea. cuma ya apa boleh buat klo demand nya lebih tinggi soal mental health, penerbit juga butuh profit",@sylliastera,,,,,280
72,buku terjemahan korea,https://twitter.com/jk_narh/status/1437621513667051529,10.37 AM · 14 Sep 2021,2021,Mungkin lagi banyak yg ngerasa depresi jadi peminatnya juga banyak.,@jk_narh,,,,,67
73,buku terjemahan korea,https://twitter.com/literarybase/status/1422479181607104516,3.47 PM · 3 Agt 2021,2021,/lt Buku-buku self improvement terjemahan korea yang kalian punya itu terjemahannya nyaman nggak buat dibaca? Boleh pap sekalian judul bukunya? Makasih 🙂,@literarybase,12,7,54,23,154
74,buku terjemahan korea,https://twitter.com/karakatann/status/1422489622651686916,4.28 PM · 3 Agt 2021,2021,"Kaya terjemahan k-netz, jelas-jelas aja",@karakatann,0,0,1,0,39
75,buku terjemahan korea,https://twitter.com/hwahyunjinie/status/1422479908618477574,3.50 PM · 3 Agt 2021,2021,"I want to die 1 nyaa gaada fotonya tapi punya. Aku nyaman² aja sih sama The power of language dan siapa yg datang ke pemakamanku, tapi yg i want to die tuh baku banget pake saya anda jadi aga ga nyaman dikit tapi okelah",@hwahyunjinie,1,0,2,0,219
76,buku terjemahan korea,https://twitter.com/ristiwirjoredjo/status/1422479835163594756,3.49 PM · 3 Agt 2021,2021,"terjemahan korea yg aku punya baru ini nder. Aku Bukannya Menyerah, Hanya Sedang Lelah. terjemahannyanya bagus dan gak membingungkan kok",@ristiwirjoredjo,,,,,136
77,buku terjemahan korea,https://twitter.com/sytsytsytsytsyt/status/1422482049303121923,3.58 PM · 3 Agt 2021,2021,Aman2 aja sih terjemahannya,@sytsytsytsytsyt,0,0,0,2,27
78,buku terjemahan korea,https://twitter.com/ristiwirjoredjo/status/1422479835163594756,4.31 PM · 3 Agt 2021,2021,"Sejauh baca, terjemahannya aman2 aja siii...
Ada ilustrasi plus covernya unyu2 💜","@mikrocan",0,0,4,2,82
79,buku terjemahan korea,https://twitter.com/ameadelia/status/1422484669254144001,4.09 PM · 3 Agt 2021,2021,Lumayan nyaman terjemahannya. Sempet bikin review dikit di thread ini:,@ameadelia,,,,,70
80,buku terjemahan korea,https://twitter.com/ameadelia/status/1421276721337180160,8.09 AM · 31 Jul 2021,2021,"Ohiya ini susunan paragrafnya agak beda, macem kayak gw nulis blog 😹 ga peduli paragraf dah ganti apa belom, udah dienter aja..
Meski terjemahan, kalimatnya alus, gampang dibaca. Juga kata2nya kedengeran tulus. Jd bacanya juga ngalir sampe ke hati 💜 hohoo",@ameadelia,1,0,0,0,258
81,buku terjemahan korea,https://twitter.com/ameadelia/status/1421291646273028101,9.08 AM · 31 Jul 2021,2021,"📒 I Want To Die But I Want To Eat Tteokpokki 2

Buku ini ada jilid 2nya dan lebih menarik. Soalnya meskipun buku pertama sukses, ga serta merta bikin Baek Se Hee bebas dari Distimia nya. Tapi ada hal yang bikin ia berubah, yaitu untuk lebih menerima dirinya, baik - buruknya.",@ameadelia,1,0,0,0,278
82,buku terjemahan korea,https://twitter.com/ameadelia/status/1421291662907645957,9.08 AM · 31 Jul 2021,2021,"Entah kenapa akhir-akhir ini suka banget baca buku modelan ini. Pdhl dulu sukanya novel. Tapi baca ini rasanya kayak ngobrol sm diri sendiri. ""Oh, ternyata ada jg ya yg ngerasa kayak gini, kirain aku doang"". Butuh jg siraman kata2 baik, krn ga setiap hr ada yg bilang itu ke kita",@ameadelia,1,0,0,0,279
83,buku terjemahan korea,https://twitter.com/ameadelia/status/1421293618581495811,9.16 AM · 31 Jul 2021,2021,"Juga kan kadang ada pikiran ruwet yang jadinya tumpah kemana2. Baca buku kyk ini paling engga, bikin pikiran2 itu jd lebih lengkap dan runut. Kdg suka baca jg thread twitter2 atau IG tp ga pernah puas krn rasanya selalu sepotong2 dan ga lengkap🙈",@ameadelia,1,0,0,0,246
84,buku terjemahan korea,https://twitter.com/hanniewooyong/status/1422484742155341825,4.09 PM · 3 Agt 2021,2021,"Aku ada 3 ini nder, menurut aku terjemahannya bagus kok dan mudah dimengerti juga 😊",@hanniewooyong,0,0,0,0,84
85,buku terjemahan korea,https://twitter.com/perionyet/status/1422495415778242563,4.51 PM · 3 Agt 2021,2021,"Buku self improvement terbitan penerbit haru terjemahannya gak kaku, gampang dipahami, nyaman lah pokoknya 😍👌🏻",@perionyet,0,0,0,0,113
86,buku terjemahan korea,https://twitter.com/literarybase/status/1417015820266328065,1.57 PM · 19 Jul 2021,2021,/lt Tolong sebutin buku self development terjemahan dari Bahasa Korea dong. Makasih 😄,@literarybase,2,3,5,2,86
87,buku terjemahan korea,https://twitter.com/moon_colatte/status/1417016120452677632,1.59 PM · 19 Jul 2021,2021,"Time of your life, hidup apa adanya, adakah orang sepertiku?",@moon_colatte,0,0,0,1,60
88,buku terjemahan korea,https://twitter.com/ninelevi/status/1417016746175713280,2.01 PM · 19 Jul 2021,2021,"Hidup apa adanya, how to respect myself",@ninelevi,0,0,0,1,39
89,buku terjemahan korea,https://twitter.com/literarybase/status/1414787211862577153,10.22 AM · 13 Jul 2021,2021,"/lt saran buku terjemahan korea selain almond, i want to die but i want to eat tteok, kim ji young 82 dong hehe makasih!",@literarybase,25,6,31,20,120
90,buku terjemahan korea,https://twitter.com/IAmSleepyReader/status/1414788737309974533,10.28 AM · 13 Jul 2021,2021,"Amor Fati, Siapa yang Datang ke Pemakamanku Saat Aku Mati Nanti, Bukannya Malas Cuma Lagi Mager Aja, Hidup Apa Adanya

Itu sih yang menurutku oke dan bisa aku baca sampe beres wkwk",@IAmSleepyReader,0,0,1,0,182
91,buku terjemahan korea,https://twitter.com/acvoca/status/1414818915956363265,12.28 PM · 13 Jul 2021,2021,"mata malam - han kang;
buat yang suka sama historical fiction, but be careful soalnya banyak hal yang triggering.",@acvoca,,,,,114
92,buku terjemahan korea,https://twitter.com/Hwaagood12/status/1414787503895158784,10.23 AM · 13 Jul 2021,2021,Please look after mom,@Hwaagood12,,,,,21
93,buku terjemahan korea,https://twitter.com/emfatoni/status/1414787366485565441,10.22 AM · 13 Jul 2021,2021,Kitchen korea bukan ya,@emfatoni,,,,,22
94,buku terjemahan korea,https://twitter.com/calonbias/status/1414788085917786122,10.25 AM · 13 Jul 2021,2021,"i see you like a flower tapi ini buku puisi. buku ini yang dibaca taeyong, hadiah ulang tahun dari ibu nya",@calonbias,,,,,106
95,buku terjemahan korea,https://twitter.com/forgcjk/status/1414788684541435923,10.28 AM · 13 Jul 2021,2021,"- Hidup Apa Adanya
- The Power of Language
- How to Respect Myself
- Siapa yang Datang ke Pemakamanku Saat Aku Mati Nanti?
- The Time We Walk Together
- Semestaku, Semua Tentang Kamu
- The Things You Can See Only When You Slow Down?
- Love for Imperfect Things",@forgcjk,1,0,1,3,267
96,buku terjemahan korea,https://twitter.com/forgcjk/status/1414788684541435923,10.28 AM · 13 Jul 2021,2021,"fish in the water - lee chanhyuk akmu
the good son - jeong you jeong
terima kasih sudah mengatakannya - kim yujin",@omyzizuz,1,0,0,0,115
97,buku terjemahan korea,https://twitter.com/santbutterfly/status/1414798347043442692,11.06 AM · 13 Jul 2021,2021,"Aku bukannya menyerah hanya sdg lelah
Good son
Please look after mom
Siapa yg dtg ke pemakaman saat aku mati nanti
Love for imperfect things",@santbutterfly,0,0,0,0,144
98,buku terjemahan korea,https://twitter.com/WijanarkoDwi48/status/1414801609293320193,11.19 AM · 13 Jul 2021,2021,Siapa yang datang ke pemakamanku saat aku mati,@WijanarkoDwi48,0,0,0,0,46
99,buku terjemahan korea,https://twitter.com/strwberriesINFJ/status/1414787421426786322,10.23 AM · 13 Jul 2021,2021,"Menyakitkan, tapi tak seburuk yang kupikirkan",@strwberriesINFJ,0,0,0,0,45
100,buku terjemahan korea,https://twitter.com/akunigi/status/1414790421926989825,10.34 AM · 13 Jul 2021,2021,"- Siapa yang Datang ke Pemakamanku Saat Aku Mati Nanti?
- Please Look After Mom",@akunigi,0,0,0,0,80
101,buku terjemahan korea,https://twitter.com/sherlockedotcom/status/1414788932504416256,10.29 AM · 13 Jul 2021,2021,"the good soon, time of your life, Siapa yang Datang ke Pemakamanku Saat Aku Mati Nanti?",@sherlockedotcom,0,0,0,0,87
102,buku terjemahan korea,https://twitter.com/moon_colatte/status/1414788153697738766,10.25 AM · 13 Jul 2021,2021,"Hidup apa adanya, time of your life",@moon_colatte,0,0,0,0,35
